District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0004028505706378333
CANNINGTON DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0009157047950881594
CANNINGTON DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0004578523975440797
FREMANTLE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
JOONDALUP DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0010836760458828437
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,5,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.014248261712071126
MANDURAH DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.003291585062786985
MIDLAND DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0013529419723188071
PERTH DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0028761046039244447
PILBARA DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,4,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0016114022825513333
CANNINGTON DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0009157047950881594
FREMANTLE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0007140332525285703
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,1,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0018980734554427255
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
MANDURAH DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,1,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.00039856198834604744
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
PILBARA DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,1,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0005298181664052897
