District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
PILBARA DISTRICT,Assault (Family),2007-02-01,2007,February,15,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.02721384640505089
PILBARA DISTRICT,Assault (Family),2007-02-01,2007,February,35,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.06349897494511873
SOUTH WEST DISTRICT,Assault (Family),2007-02-01,2007,February,6,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003178908998431738
SOUTH WEST DISTRICT,Assault (Family),2007-02-01,2007,February,26,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.013775272326537531
WHEATBELT DISTRICT,Assault (Family),2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Assault (Family),2007-02-01,2007,February,18,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.032179058583763874
ARMADALE DISTRICT,Assault (Family),2007-03-01,2007,March,22,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.008862712554032332
ARMADALE DISTRICT,Assault (Family),2007-03-01,2007,March,40,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.016114022825513333
CANNINGTON DISTRICT,Assault (Family),2007-03-01,2007,March,19,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.008699195553337515
CANNINGTON DISTRICT,Assault (Family),2007-03-01,2007,March,34,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01556698151649871
FREMANTLE DISTRICT,Assault (Family),2007-03-01,2007,March,12,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.004284199515171422
FREMANTLE DISTRICT,Assault (Family),2007-03-01,2007,March,48,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.017136798060685687
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-03-01,2007,March,19,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03606339565341179
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-03-01,2007,March,34,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.06453449748505267
GREAT SOUTHERN DISTRICT,Assault (Family),2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
GREAT SOUTHERN DISTRICT,Assault (Family),2007-03-01,2007,March,12,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.014400576023040922
JOONDALUP DISTRICT,Assault (Family),2007-03-01,2007,March,19,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.005147461217943508
JOONDALUP DISTRICT,Assault (Family),2007-03-01,2007,March,46,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.012462274527652703
KIMBERLEY DISTRICT,Assault (Family),2007-03-01,2007,March,39,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.11113644135415479
KIMBERLEY DISTRICT,Assault (Family),2007-03-01,2007,March,36,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.10258748432691212
MANDURAH DISTRICT,Assault (Family),2007-03-01,2007,March,20,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.00689847854055788
MANDURAH DISTRICT,Assault (Family),2007-03-01,2007,March,60,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.020695435621673638
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-03-01,2007,March,13,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.021395302908115404
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-03-01,2007,March,32,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.05266536100459176
MIDLAND DISTRICT,Assault (Family),2007-03-01,2007,March,13,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.005181305848498617
MIDLAND DISTRICT,Assault (Family),2007-03-01,2007,March,43,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.017138165498880042
MIRRABOOKA DISTRICT,Assault (Family),2007-03-01,2007,March,21,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.007102945354673738
MIRRABOOKA DISTRICT,Assault (Family),2007-03-01,2007,March,41,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.013867655216267774
PERTH DISTRICT,Assault (Family),2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0028761046039244447
PERTH DISTRICT,Assault (Family),2007-03-01,2007,March,15,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.010785392264716668
PILBARA DISTRICT,Assault (Family),2007-03-01,2007,March,9,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.01632830784303053
PILBARA DISTRICT,Assault (Family),2007-03-01,2007,March,37,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.06712748779912552
SOUTH WEST DISTRICT,Assault (Family),2007-03-01,2007,March,4,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0021192726656211586
SOUTH WEST DISTRICT,Assault (Family),2007-03-01,2007,March,21,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.011126181494511084
WHEATBELT DISTRICT,Assault (Family),2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Assault (Family),2007-03-01,2007,March,15,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.026815882153136565
ARMADALE DISTRICT,Assault (Family),2007-04-01,2007,April,19,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.007654160842118833
ARMADALE DISTRICT,Assault (Family),2007-04-01,2007,April,23,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.009265563124670166
