District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,57,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.019279423105543002
PERTH DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,45,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.03235617679415
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,11,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.019956820697037317
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,36,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.01907345399059043
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.014301803815006167
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,41,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.016516873396151165
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,50,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.022892619877203986
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,55,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.019635914444535683
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,17,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03226724874252634
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,8,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.009600384015360616
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,42,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01137859848176986
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,53,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.01828096813247838
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,14,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.023041095439508896
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,52,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.020725223393994466
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,59,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.019955894091702408
PERTH DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,35,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.025165915284338893
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,18,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.03265661568606106
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,21,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.011126181494511084
