District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
SOUTH WEST DISTRICT,Assault (Non-Family),2007-02-01,2007,February,15,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.007947272496079346
SOUTH WEST DISTRICT,Assault (Non-Family),2007-02-01,2007,February,44,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.023311999321832748
SOUTH WEST DISTRICT,Assault (Non-Family),2007-02-01,2007,February,11,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.005827999830458187
WHEATBELT DISTRICT,Assault (Non-Family),2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.007150901907503083
WHEATBELT DISTRICT,Assault (Non-Family),2007-02-01,2007,February,21,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.03754223501439119
WHEATBELT DISTRICT,Assault (Non-Family),2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0035754509537515417
ARMADALE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,26,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.010474114836583667
ARMADALE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,51,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.020545379102529498
ARMADALE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
CANNINGTON DISTRICT,Assault (Non-Family),2007-03-01,2007,March,25,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.011446309938601993
CANNINGTON DISTRICT,Assault (Non-Family),2007-03-01,2007,March,51,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.023350472274748065
CANNINGTON DISTRICT,Assault (Non-Family),2007-03-01,2007,March,6,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0027471143852644785
FREMANTLE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,50,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.017850831313214258
FREMANTLE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,56,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.01999293107079997
FREMANTLE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,5,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0017850831313214258
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,28,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.053146056752396316
