District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,99,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.03348531381489048
PERTH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,4,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0028761046039244447
PERTH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,56,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.040265464454942224
PILBARA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,25,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.013245454160132243
WHEATBELT DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,14,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.025028156676260793
ARMADALE DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0008057011412756667
ARMADALE DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,41,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.016516873396151165
CANNINGTON DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Fraud & Related Offences,2007-03-01,2007,March,40,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.018314095901763187
