District,Crime,Region,State,Population,Count,Count_Per_100
ARMADALE DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,32029,12.902900926959163
MIRRABOOKA DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,36939,12.494080878871106
JOONDALUP DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,45704,12.382082500257374
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,7503,12.348381363045375
PILBARA DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,6778,12.297030062228995
PILBARA DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,6774,12.28977303652098
MANDURAH DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,35222,12.148910557776482
MIDLAND DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,30403,12.11748013168488
WHEATBELT DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,6649,11.886586695747
PERTH DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,15769,11.338323374821142
FREMANTLE DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,30870,11.021103252778483
PILBARA DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,5992,10.871024510604327
JOONDALUP DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,40042,10.848139057310208
MIDLAND DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,26687,10.636423782990969
MANDURAH DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,30837,10.636419137759168
ARMADALE DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,26043,10.491437411121094
GREAT SOUTHERN DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,8443,10.132005280211208
MIDLAND DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,25219,10.051334784098971
CANNINGTON DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,21517,9.851610037955963
WHEATBELT DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,5072,9.06734361871391
MANDURAH DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,25892,8.930770318606232
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,7109,8.531141245649826
WHEATBELT DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,4634,8.284319859842322
CANNINGTON DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,18004,8.243174565383612
MIRRABOOKA DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,23663,8.003666472744984
GREAT SOUTHERN DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,6518,7.821912876515061
SOUTH WEST DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,14554,7.710973593862586
