District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,13,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.005181305848498617
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0019928099417302375
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,26,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.008794122820072248
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,13,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.004397061410036124
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,10,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.007190261509811112
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,20,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.014380523019622223
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,5,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.009071282135016963
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.005442769281010177
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,13,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.006887636163268766
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,3,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.001589454499215869
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.007150901907503083
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-02-01,2007,February,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,17,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.006848459700843167
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,7,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002819953994464833
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,16,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.007325638360705275
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,9,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.004120671577896718
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,20,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.007140332525285703
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,6,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002142099757585711
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,5,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.009490367277213628
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,10,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.018980734554427257
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,4,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,13,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0035219471491192422
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0010836760458828437
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,10,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.028496523424142252
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,21,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.007243402467585773
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,8,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.002759391416223152
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,6,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.009874755188360954
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,9,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.014812132782541433
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,9,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0035870578951144273
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0015942479533841898
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,21,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.007102945354673738
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,5,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.001691177465398509
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,18,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.012942470717660002
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,18,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.012942470717660002
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.003628512854006785
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0010596363328105793
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0010596363328105793
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,12,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.004834206847654
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,6,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002417103423827
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,18,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.008241343155793435
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,2,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0009157047950881594
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,9,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0032131496363785664
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,5,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0017850831313214258
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,7,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.013286514188099079
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,6,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.011388440732656354
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,10,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0027091901147071095
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,6,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0016255140688242657
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,4,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.011398609369656901
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,11,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0037941631973068338
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,3,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.004937377594180477
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,6,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.009874755188360954
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,8,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0031884959067683795
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,7,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.002789933918422332
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,13,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.004397061410036124
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,9,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0030441194377173165
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,18,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.012942470717660002
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,13,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.009347339962754445
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,9,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0047683634976476074
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,3,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.001589454499215869
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,7,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.012514078338130397
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-04-01,2007,April,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,15,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0060427585595675
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0008057011412756667
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,26,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.011904162336146072
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,8,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0036628191803526377
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,15,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.005355249393964277
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,7,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002499116383849996
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,6,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.011388440732656354
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,6,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.011388440732656354
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,5,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.006000240009600384
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,22,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.005960218252355641
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,6,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0016255140688242657
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,14,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.004828934978390516
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,4,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001379695708111576
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,4,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.00658317012557397
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,3,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.004937377594180477
