District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0014280665050571406
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,20,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.005694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.005694220366328177
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,19,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.02280091203648146
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,5,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.006000240009600384
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,53,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01435870760794768
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,26,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0070438942982384845
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,16,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.045594437478627604
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,4,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.011398609369656901
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,28,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.009657869956781032
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,9,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.003104315343251046
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,18,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.029624265565082866
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,10,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.016457925313934925
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0016457925313934924
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,13,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.005181305848498617
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,9,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0035870578951144273
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0007971239766920949
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,57,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.019279423105543002
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,15,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.005073532396195527
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,25,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.01797565377452778
PERTH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
PERTH DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,6,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.010885538562020354
