District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
MANDURAH DISTRICT,Property Damage,2007-11-01,2007,November,297,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.10244240632728452
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-11-01,2007,November,10,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.016457925313934925
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-11-01,2007,November,173,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.2847221079310742
MIDLAND DISTRICT,Property Damage,2007-11-01,2007,November,31,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.012355421638727472
MIDLAND DISTRICT,Property Damage,2007-11-01,2007,November,234,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.09326350527297511
MIRRABOOKA DISTRICT,Property Damage,2007-11-01,2007,November,43,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.014544126202427178
MIRRABOOKA DISTRICT,Property Damage,2007-11-01,2007,November,335,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.11330889018170011
PERTH DISTRICT,Property Damage,2007-11-01,2007,November,35,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.025165915284338893
PERTH DISTRICT,Property Damage,2007-11-01,2007,November,298,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.21426979299237114
PILBARA DISTRICT,Property Damage,2007-11-01,2007,November,9,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.01632830784303053
PILBARA DISTRICT,Property Damage,2007-11-01,2007,November,131,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.2376675919374444
SOUTH WEST DISTRICT,Property Damage,2007-11-01,2007,November,20,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.010596363328105794
SOUTH WEST DISTRICT,Property Damage,2007-11-01,2007,November,195,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.10331454244903149
WHEATBELT DISTRICT,Property Damage,2007-11-01,2007,November,14,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.025028156676260793
WHEATBELT DISTRICT,Property Damage,2007-11-01,2007,November,88,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.15731984196506785
ARMADALE DISTRICT,Property Damage,2007-12-01,2007,December,40,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.016114022825513333
ARMADALE DISTRICT,Property Damage,2007-12-01,2007,December,283,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.11400671149050683
CANNINGTON DISTRICT,Property Damage,2007-12-01,2007,December,28,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.012819867131234232
CANNINGTON DISTRICT,Property Damage,2007-12-01,2007,December,563,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.2577708998173169
FREMANTLE DISTRICT,Property Damage,2007-12-01,2007,December,30,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.010710498787928555
FREMANTLE DISTRICT,Property Damage,2007-12-01,2007,December,344,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.12281371943491409
