District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Graffiti,2007-05-01,2007,May,132,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.053176275324194
CANNINGTON DISTRICT,Graffiti,2007-05-01,2007,May,135,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.06181007366845076
FREMANTLE DISTRICT,Graffiti,2007-05-01,2007,May,37,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.01320961517177855
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-05-01,2007,May,5,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Graffiti,2007-05-01,2007,May,2,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.002400096003840154
JOONDALUP DISTRICT,Graffiti,2007-05-01,2007,May,85,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.023028115975010432
KIMBERLEY DISTRICT,Graffiti,2007-05-01,2007,May,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
MANDURAH DISTRICT,Graffiti,2007-05-01,2007,May,27,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.009312946029753138
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-05-01,2007,May,12,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.01974951037672191
MIDLAND DISTRICT,Graffiti,2007-05-01,2007,May,272,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.10840886083012491
MIRRABOOKA DISTRICT,Graffiti,2007-05-01,2007,May,36,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.012176477750869266
PERTH DISTRICT,Graffiti,2007-05-01,2007,May,350,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.2516591528433889
PILBARA DISTRICT,Graffiti,2007-05-01,2007,May,11,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.019956820697037317
SOUTH WEST DISTRICT,Graffiti,2007-05-01,2007,May,31,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.01642436315856398
WHEATBELT DISTRICT,Graffiti,2007-05-01,2007,May,14,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.025028156676260793
ARMADALE DISTRICT,Graffiti,2007-06-01,2007,June,177,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0713045510028965
CANNINGTON DISTRICT,Graffiti,2007-06-01,2007,June,111,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.050821616127392846
FREMANTLE DISTRICT,Graffiti,2007-06-01,2007,June,42,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.014994698303099976
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-06-01,2007,June,7,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Graffiti,2007-06-01,2007,June,4,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.004800192007680308
JOONDALUP DISTRICT,Graffiti,2007-06-01,2007,June,77,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.020860763883244742
KIMBERLEY DISTRICT,Graffiti,2007-06-01,2007,June,7,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.019947566396899576
MANDURAH DISTRICT,Graffiti,2007-06-01,2007,June,92,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.03173300128656625
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-06-01,2007,June,6,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.009874755188360954
MIDLAND DISTRICT,Graffiti,2007-06-01,2007,June,125,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.04982024854325593
MIRRABOOKA DISTRICT,Graffiti,2007-06-01,2007,June,135,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.045661791565759745
PERTH DISTRICT,Graffiti,2007-06-01,2007,June,339,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.2437498651825967
PILBARA DISTRICT,Graffiti,2007-06-01,2007,June,7,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.012699794989023747
SOUTH WEST DISTRICT,Graffiti,2007-06-01,2007,June,41,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.021722544822616877
WHEATBELT DISTRICT,Graffiti,2007-06-01,2007,June,11,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.01966498024563348
ARMADALE DISTRICT,Graffiti,2007-07-01,2007,July,278,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.11199245863731766
CANNINGTON DISTRICT,Graffiti,2007-07-01,2007,July,151,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.06913571202915604
FREMANTLE DISTRICT,Graffiti,2007-07-01,2007,July,41,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.014637681676835691
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-07-01,2007,July,8,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.015184587643541804
GREAT SOUTHERN DISTRICT,Graffiti,2007-07-01,2007,July,10,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.012000480019200769
JOONDALUP DISTRICT,Graffiti,2007-07-01,2007,July,96,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.02600822510118825
KIMBERLEY DISTRICT,Graffiti,2007-07-01,2007,July,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
MANDURAH DISTRICT,Graffiti,2007-07-01,2007,July,94,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.03242284914062204
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-07-01,2007,July,8,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.01316634025114794
MIDLAND DISTRICT,Graffiti,2007-07-01,2007,July,157,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.06257423217032945
MIRRABOOKA DISTRICT,Graffiti,2007-07-01,2007,July,118,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.039911788183404816
PERTH DISTRICT,Graffiti,2007-07-01,2007,July,553,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.3976214614925545
PILBARA DISTRICT,Graffiti,2007-07-01,2007,July,3,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.005442769281010177
SOUTH WEST DISTRICT,Graffiti,2007-07-01,2007,July,35,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.01854363582418514
WHEATBELT DISTRICT,Graffiti,2007-07-01,2007,July,9,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.016089529291881937
ARMADALE DISTRICT,Graffiti,2007-08-01,2007,August,251,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.10111549323009617
CANNINGTON DISTRICT,Graffiti,2007-08-01,2007,August,127,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.05814725448809813
FREMANTLE DISTRICT,Graffiti,2007-08-01,2007,August,50,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.017850831313214258
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-08-01,2007,August,7,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Graffiti,2007-08-01,2007,August,12,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.014400576023040922
JOONDALUP DISTRICT,Graffiti,2007-08-01,2007,August,103,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.02790465818148323
KIMBERLEY DISTRICT,Graffiti,2007-08-01,2007,August,4,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.011398609369656901
MANDURAH DISTRICT,Graffiti,2007-08-01,2007,August,87,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.030008381651426778
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-08-01,2007,August,7,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.011520547719754448
MIDLAND DISTRICT,Graffiti,2007-08-01,2007,August,199,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.07931383568086345
MIRRABOOKA DISTRICT,Graffiti,2007-08-01,2007,August,62,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.020970600570941512
PERTH DISTRICT,Graffiti,2007-08-01,2007,August,427,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.3070241664689345
PILBARA DISTRICT,Graffiti,2007-08-01,2007,August,7,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.012699794989023747
SOUTH WEST DISTRICT,Graffiti,2007-08-01,2007,August,30,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.015894544992158692
WHEATBELT DISTRICT,Graffiti,2007-08-01,2007,August,6,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.010726352861254626
ARMADALE DISTRICT,Graffiti,2007-09-01,2007,September,165,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0664703441552425
CANNINGTON DISTRICT,Graffiti,2007-09-01,2007,September,77,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.03525463461089414
FREMANTLE DISTRICT,Graffiti,2007-09-01,2007,September,221,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.07890067440440703
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-09-01,2007,September,7,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Graffiti,2007-09-01,2007,September,12,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.014400576023040922
JOONDALUP DISTRICT,Graffiti,2007-09-01,2007,September,122,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.03305211939942674
KIMBERLEY DISTRICT,Graffiti,2007-09-01,2007,September,5,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.014248261712071126
MANDURAH DISTRICT,Graffiti,2007-09-01,2007,September,58,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.020005587767617853
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-09-01,2007,September,16,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.02633268050229588
MIDLAND DISTRICT,Graffiti,2007-09-01,2007,September,225,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.08967644737786068
MIRRABOOKA DISTRICT,Graffiti,2007-09-01,2007,September,149,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.05039708846887557
PERTH DISTRICT,Graffiti,2007-09-01,2007,September,564,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.4055307491533467
PILBARA DISTRICT,Graffiti,2007-09-01,2007,September,5,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.009071282135016963
SOUTH WEST DISTRICT,Graffiti,2007-09-01,2007,September,40,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.021192726656211587
WHEATBELT DISTRICT,Graffiti,2007-09-01,2007,September,15,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.026815882153136565
ARMADALE DISTRICT,Graffiti,2007-10-01,2007,October,226,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.09104422896415033
CANNINGTON DISTRICT,Graffiti,2007-10-01,2007,October,89,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0407488633814231
FREMANTLE DISTRICT,Graffiti,2007-10-01,2007,October,46,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.016422764808157117
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-10-01,2007,October,3,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.005694220366328177
GREAT SOUTHERN DISTRICT,Graffiti,2007-10-01,2007,October,13,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.015600624024960999
JOONDALUP DISTRICT,Graffiti,2007-10-01,2007,October,165,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.044701636892667304
KIMBERLEY DISTRICT,Graffiti,2007-10-01,2007,October,2,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0056993046848284505
MANDURAH DISTRICT,Graffiti,2007-10-01,2007,October,140,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.04828934978390516
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-10-01,2007,October,9,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.014812132782541433
MIDLAND DISTRICT,Graffiti,2007-10-01,2007,October,214,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.08529226550605416
MIRRABOOKA DISTRICT,Graffiti,2007-10-01,2007,October,117,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.039573552690325114
PERTH DISTRICT,Graffiti,2007-10-01,2007,October,480,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.3451325524709334
PILBARA DISTRICT,Graffiti,2007-10-01,2007,October,5,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.009071282135016963
SOUTH WEST DISTRICT,Graffiti,2007-10-01,2007,October,52,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.027550544653075063
